무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,설치연도,관리기관명,관리기관전화번호,데이터기준일자
F7219,세종특별자치시,없음,일반국도,1,세종로,2,,세종특별자치시 소정면 대곡리 322-2,36.72849451,127.1650877,"세종특별자치시 소정면 세종로 4679, (은산제2주유소 앞)",1,80,2013,세종특별자치시경찰청,044-559-2151,2022-05-20
F7460,세종특별자치시,없음,지방도,327,의당전의로,1,,세종특별자치시 장군면 송학리 113-4,36.52781004,127.1845031,세종특별자치시 장군면 의당전의로 송학1리 마을입구 공주방향,1,60,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7461,세종특별자치시,없음,지방도,327,의당전의로,1,,세종특별자치시 장군면 송학리 113-4,36.52781004,127.1845031,세종특별자치시 장군면 의당전의로 송학1리 마을입구 세종방향,1,60,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7641,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 조치원읍 침산리 34-5,36.60311733,127.2898405,세종특별자치시 조치원읍 세종로 욱일사거리(신봉초교 앞) (대전→천안),2,50,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7642,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 소정면 운당리 32-5,36.69790675,127.1526293,세종특별자치시 소정면 세종로 무궁화@앞(천안 방향),2,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7643,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 전의면 유천리 590,36.67922222,127.1845556,세종특별자치시 전의면 세종로 영상주유소 건너편,1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7644,세종특별자치시,없음,지방도,1,세종로,1,,세종특별자치시 금남면 두만리 259-1,36.42782247,127.2900015,세종특별자치시 금남면 세종로 (두만2리 앞),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7666,세종특별자치시,없음,일반국도,43,정안세종로,1,,세종특별자치시 연기면 수산리 123,36.54064717,127.2323292,세종특별자치시 연기면 정안세종로 수산교차로 400m전 (세종방향),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F7667,세종특별자치시,없음,일반국도,43,정안세종로,2,,세종특별자치시 연기면 수산리 123,36.54064717,127.2323292,세종특별자치시 연기면 정안세종로 수산교차로 (정안방향),1,80,2014,세종특별자치시경찰청,044-559-2151,2022-05-20
F8280,세종특별자치시,없음,시도,,가름로,2,,세종특별자치시 종촌동 710,36.49916172,127.2504936,세종특별자치시 다정동 가름로 가재마을아파트 803동 옆 사거리,2,50,2015,세종특별자치시경찰청,044-559-2151,2022-05-20
F8281,세종특별자치시,없음,시도,,절재로,2,,세종특별자치시 아름동 1456,36.50783305,127.2486141,세종특별자치시 아름동 절재로 나래초등학교 옆 사거리,2,50,2015,세종특별자치시경찰청,044-559-2151,2022-05-20
F8282,세종특별자치시,없음,시도,,가름로,2,,세종특별자치시 종촌동 710,36.49969456,127.2404603,세종특별자치시 종촌동 가름로 다빛초등학교 앞 사거리,2,50,2015,세종특별자치시경찰청,044-559-2151,2022-05-20
F8283,세종특별자치시,없음,시도,,가름로,2,,세종특별자치시 어진동 756,36.49875381,127.2551186,세종특별자치시 종촌동 가름로 가재마을아파트 906동 옆,1,50,2015,세종특별자치시경찰청,044-559-2151,2022-05-20
F8634,세종특별자치시,없음,일반국도,1,세종로,2,세종특별자치시 연서면 봉암길 22,세종특별자치시 연서면 봉암리 607-4,36.56084793,127.282931,세종특별자치시 연서면 세종로 봉암SK주유소 앞,1,80,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F8635,세종특별자치시,없음,일반국도,1,세종로,1,,세종특별자치시 금남면 발산리 231-4,36.45392658,127.2841815,"세종특별자치시 금남면 발산리 150-2, 발산교차로",1,80,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F8636,세종특별자치시,없음,시도,,갈매로,1,,세종특별자치시 대평동 643,36.46940665,127.2748595,"세종특별자치시 대평동 갈매로 종합운동장 교차로 (구,대평4가)",2,50,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F9066,세종특별자치시,없음,지방도,1,세종로,2,,세종특별자치시 종촌동 709,36.50522222,127.2413333,세종특별자치시 종촌동 세종로 1150 가재마을 4단지 앞 (세종→천안),2,50,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F9067,세종특별자치시,없음,지방도,1,세종로,1,,세종특별자치시 종촌동 709,36.50522222,127.2413333,세종특별자치시 고운동 세종로 1149 가락마을 7단지 앞 (천안→세종),2,50,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F9068,세종특별자치시,없음,지방도,1,세종로,2,,세종특별자치시 아름동 1477,36.5143846,127.241511,세종특별자치시 아름동 세종로 1260 가락마을 20단지 앞 (세종→천안),2,50,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F9069,세종특별자치시,없음,지방도,1,세종로,2,,세종특별자치시 아름동 1477,36.5143846,127.241511,세종특별자치시 고운동 세종로 1259 온빛초교 앞 (천안→세종),2,50,2016,세종특별자치시경찰청,044-559-2151,2022-05-20
F9616,세종특별자치시,없음,시도,,한누리대로,1,,세종특별자치시 소담동 36-8,36.48633333,127.3011111,세종특별자치시 보람동 한누리대로 보람초교 앞 4가 (시청→국책연구단지),2,30,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
F9617,세종특별자치시,없음,시도,,한누리대로,2,,세종특별자치시 소담동 36-8,36.48633333,127.3011111,세종특별자치시 보람동 한누리대로 보람초교 앞 4가 (국책연구단지→시청),2,30,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
F9618,세종특별자치시,없음,시도,,갈매로,1,,세종특별자치시 연기면 세종리 551-22,36.47992137,127.2696543,세종특별자치시 나성동 갈매로 금남교 전(세종청사→대전),1,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
F9715,세종특별자치시,없음,일반국도,1,세종로,2,세종특별자치시 조치원읍 세종로 2540,세종특별자치시 조치원읍 서창리 50-4,36.61281049,127.2934677,세종특별자치시 조치원읍 세종로 2540  신안1리 사거리,2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
F9716,세종특별자치시,없음,지방도,96,가름로,1,,세종특별자치시 어진동 747,36.49592829,127.2656268,세종특별자치시 어진동 가름로 213 갈매교차로,2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
F9717,세종특별자치시,없음,시도,,한누리대로,2,,세종특별자치시 도담동 400,36.52489088,127.2612222,세종특별자치시 도담동 한누리대로 639  파란달교차로,2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0167,세종특별자치시,없음,시도,,행복대로,1,,세종특별자치시 보람동 700-44,36.47323344,127.2865614,세종특별자치시 대평동 행복대로 금남초교 100m전 (대평동→소담동),1,70,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0168,세종특별자치시,없음,시도,,행복대로,2,,세종특별자치시 보람동 700-44,36.47323344,127.2865601,세종특별자치시 대평동 행복대로 금남초교 100m후 (소담동→대평동),1,70,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0169,세종특별자치시,없음,지방도,96,한누리대로,2,,세종특별자치시 연동면 합강리 10-26,36.529444,127.3227778,세종특별자치시 연동면 한누리대로 너래교차로(세종→오송),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0170,세종특별자치시,없음,지방도,96,연청로,1,,세종특별자치시 연동면 합강리 10-26,36.529444,127.3227778,세종특별자치시 연동면 연청로 너래교차로 (남청주→세종),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0276,세종특별자치시,없음,시도,,갈매로,1,,세종특별자치시 도담동 903,36.51556223,127.2657541,세종특별자치시 도담동 갈매로 도램마을20단지 앞 (조치원→청사),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0277,세종특별자치시,없음,시도,,절재로,2,,세종특별자치시 어진동 710,36.50709244,127.2700678,세종특별자치시 어진동 절재로 솔비타어린이집 앞 (국책연구단지→홈플러스),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0278,세종특별자치시,없음,시도,,마음로,1,,세종특별자치시 고운동 2057,36.51114178,127.2296487,세종특별자치시 고운동 마음로 고운초교 앞 교차로 (으뜸초→고운초),2,30,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0279,세종특별자치시,없음,시도,,어울로,2,,세종특별자치시 한솔동 1227,36.483444,127.2575444,세종특별자치시 한솔동 어울로 첫마을1단지 외곽도로(111동 뒷편) (첫마을→국세청),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0280,세종특별자치시,없음,시도,,절재로,1,,세종특별자치시 어진동 710,36.50709244,127.2700678,세종특별자치시 어진동 절재로 세종소방서 앞 (홈플러스→국책연구단지),2,50,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0281,세종특별자치시,없음,시도,,달빛로,2,,세종특별자치시 종촌동 704,36.50061111,127.2449722,세종특별자치시 종촌동 달빛1로 다빛초교 앞 (종촌중→다빛초),2,30,2017,세종특별자치시경찰청,044-559-2151,2022-05-20
G0849,세종특별자치시,없음,시도,,구즉세종로,1,,세종특별자치시 금남면 영대리 67-6,36.47429291,127.3361862,세종특별자치시 금남면 구즉세종로 (BRT도로) 대전방향,1,80,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G0859,세종특별자치시,없음,시도,,보람동로,1,,세종특별자치시 소담동 36-8,36.48633333,127.3011111,세종특별자치시 보람동 보람동로 보람초교 앞 4가 (보람초교→금강),2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G0860,세종특별자치시,없음,시도,,보람동로,2,,세종특별자치시 소담동 36-8,36.48633333,127.3011111,세종특별자치시 보람동 보람동로 보람초교 앞 4가 (금강→보람초교),2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1115,세종특별자치시,없음,일반국도,1,세종로,2,,세종특별자치시 조치원읍 침산리 34-5,36.60311111,127.289751,세종특별자치시 조치원읍 세종로 욱일사거리(신봉초교 앞) (천안→대전),2,50,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1216,세종특별자치시,없음,일반국도,36,장기로,2,,세종특별자치시 장군면 봉안리 366-1,36.49874699,127.2221807,"세종특별자치시 장군면 장기로 봉안교차로(봉안리, 세종→공주)",2,60,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1217,세종특별자치시,없음,일반국도,36,장기로,1,,세종특별자치시 장군면 봉안리 508,36.49888427,127.224557,"세종특별자치시 장군면 장기로 봉안교차로(봉안리, 공주→세종)",2,60,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1434,세종특별자치시,없음,시도,,연서로,2,,세종특별자치시 연서면 신대리 594,36.58130208,127.2561119,"세종특별자치시 연서면 연서로 148, 연서초교 앞(고복저수지→조치원)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1435,세종특별자치시,없음,시도,,연서로,1,,세종특별자치시 연서면 신대리 33-2,36.58195881,127.2538283,"세종특별자치시 연서면 연서로 149, 연서초교 앞(조치원→고복저수지)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1436,세종특별자치시,없음,시도,,운주산로,2,,세종특별자치시 전의면 읍내리 356-4,36.67940942,127.2038613,"세종특별자치시 전의면 운주산로 1204-9, 전의초교 앞(읍내리,천안→조치원)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1437,세종특별자치시,없음,시도,,운주산로,2,,세종특별자치시 전의면 읍내리 254-34,36.67947395,127.2038506,"세종특별자치시 전의면 운주산로 1204-10, 전의초교 앞(읍내리,조치원→천안)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1438,세종특별자치시,없음,시도,,소정구길,1,,세종특별자치시 소정면 소정리 49-2,36.71965852,127.1569111,"세종특별자치시 소정면 소정구길 188, 소정초교 앞(소정리, 천안→조치원)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1439,세종특별자치시,없음,시도,,소정구길,2,,세종특별자치시 소정면 소정리 164-4,36.7209136,127.1574528,"세종특별자치시 소정면 소정구길 189, 소정초교 앞(소정리, 조치원→천안)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1440,세종특별자치시,없음,시도,,도움로,1,,세종특별자치시 어진동 693,36.5034523,127.2569102,"세종특별자치시 어진동 도움3로 37, 연양초교 앞(고운동→청사)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1441,세종특별자치시,없음,시도,,도움로,2,,세종특별자치시 어진동 693,36.5034523,127.2569102,"세종특별자치시 어진동 도움3로 37, 연양초교 앞(청사→고운동)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1442,세종특별자치시,없음,시도,,만남로,1,,세종특별자치시 고운동 2057,36.51114178,127.2296487,"세종특별자치시 고운동 만남로 223, 두루초교 앞(고운동복컴→국제고)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1443,세종특별자치시,없음,시도,,새롬남로,1,,세종특별자치시 새롬동 341-77,36.48454796,127.2529697,"세종특별자치시 새롬동 새롬남로 75, 새뜸초교 앞(국세청→사오리지하차도)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1444,세종특별자치시,없음,시도,,새롬남로,2,,세종특별자치시 새롬동 341-77,36.48462385,127.2533536,"세종특별자치시 새롬동 새롬남로 75, 새뜸초교 앞(사오리지하차도→국세청)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1445,세종특별자치시,없음,시도,,노을로,2,,세종특별자치시 한솔동 1231,36.48024414,127.2587373,"세종특별자치시 한솔동 노을1로 29, 참샘초교 앞(한솔동주민센터→나성동)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1446,세종특별자치시,없음,시도,,노을로,1,,세종특별자치시 한솔동 1231,36.4797136,127.2583441,"세종특별자치시 한솔동 노을1로 29, 참샘초교 앞(나성동→한솔동주민센터)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1447,세종특별자치시,없음,시도,,대첩로,2,,세종특별자치시 조치원읍 신흥리 76-4,36.59542706,127.2934389,"세종특별자치시 조치원읍 대동학교길 11, 대동초교 앞(신흥리, 신흥사거리→조치원역)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1448,세종특별자치시,없음,시도,,대첩로,2,,세종특별자치시 조치원읍 신흥리 63-22,36.59553517,127.292948,"세종특별자치시 조치원읍 대동학교길 12, 대동초교 앞(신흥리, 조치원역→신흥사거리)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1449,세종특별자치시,없음,시도,,달빛로,1,,세종특별자치시 아름동 1458,36.51366991,127.2504673,"세종특별자치시 아름동 달빛로 174, 아름초교 앞(국제고→한솔동)",2,40,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1450,세종특별자치시,없음,시도,,달빛로,2,,세종특별자치시 아름동 1458,36.51366991,127.2504673,"세종특별자치시 아름동 달빛로 174, 아름초교 앞(한솔동→국제고)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1451,세종특별자치시,없음,시도,,마음로,1,,세종특별자치시 고운동 2057,36.51114178,127.2296487,"세종특별자치시 고운동 마음로 132, 으뜸초교 앞(공주→고운동복컴)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1452,세종특별자치시,없음,시도,,마음로,2,,세종특별자치시 고운동 2057,36.51114178,127.2296487,"세종특별자치시 고운동 마음로 132, 으뜸초교 앞(고운동복컴→공주)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1453,세종특별자치시,없음,시도,,마음로,1,,세종특별자치시 고운동 2057,36.51114178,127.2296487,"세종특별자치시 고운동 마음로 208, 가락초교 앞(공주→고운동복컴)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1454,세종특별자치시,없음,시도,,마음로,2,,세종특별자치시 고운동 2057,36.51114178,127.2296563,"세종특별자치시 고운동 마음로 208, 가락초교 앞(고운동복컴→공주)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1455,세종특별자치시,없음,시도,,만남로,1,,세종특별자치시 고운동 2058,36.51165147,127.2337567,"세종특별자치시 고운동 만남로 47, 고운유치원 앞(온빛초→공주)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1456,세종특별자치시,없음,시도,,만남로,2,,세종특별자치시 고운동 2058,36.51165147,127.2337567,"세종특별자치시 고운동 만남로 47, 고운유치원 앞(공주→온빛초)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1457,세종특별자치시,없음,시도,,당산로,1,,세종특별자치시 연서면 봉암리 722-1,36.56538431,127.2846634,"세종특별자치시 연서면 당산로 384, 연봉초교 앞(봉암리, 청사→조치원)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1458,세종특별자치시,없음,시도,,당산로,1,,세종특별자치시 연서면 봉암리 722-1,36.56538431,127.2846634,"세종특별자치시 연서면 당산로 384, 연봉초교 앞(봉암리, 조치원→청사)",1,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1459,세종특별자치시,없음,시도,,소담로,1,,세종특별자치시 소담동 32-24,36.48163474,127.3037226,"세종특별자치시 소담동 소담1로 35, 소담초교 앞(KDI→보람초)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1460,세종특별자치시,없음,시도,,보람로,2,,세종특별자치시 도담동 939,36.51091818,127.2639544,"세종특별자치시 도담동 보람로 33, 도담초교 앞(도담고→청사)",2,30,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
G1461,세종특별자치시,없음,시도,,갈매로,1,,세종특별자치시 어진동 713,36.50237871,127.2662632,"세종특별자치시 갈매로 어진동 710, 양지중학교 앞(조치원→청사)",2,50,2018,세종특별자치시경찰청,044-559-2151,2022-05-20
